iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0851100764915,0.0856811926021,0.0857330342254,0.898463418893,0.892108938547,0.894413407821,0.439518072289,0.426716141002,0.416666666667,0.028474903
10,0.0783657078172,0.079413843688,0.0789444528533,0.923170944648,0.915153631285,0.917597765363,0.623931623932,0.597014925373,0.599728629579,0.287761041
20,0.0743704839412,0.0755626955877,0.0747759286743,0.930679238694,0.926675977654,0.926815642458,0.654782608696,0.635416666667,0.627840909091,0.522013946
30,0.0736875490101,0.0747921306748,0.0741459216323,0.938711367208,0.934008379888,0.934636871508,0.693181818182,0.665486725664,0.663793103448,0.654358096
40,0.0711959152719,0.0722924491155,0.071669857042,0.947703858914,0.943784916201,0.943854748603,0.724090280977,0.701298701299,0.695915279879,0.787731216
50,0.0707850496394,0.071903317258,0.0711546879795,0.950497642745,0.946229050279,0.948324022346,0.73640167364,0.710526315789,0.715821812596,0.928213603
60,0.0639197814754,0.0648442037664,0.0643067653575,0.956783656365,0.951466480447,0.954189944134,0.738233738763,0.704883227176,0.713286713287,1.06515056
70,0.0592816441541,0.0602553166086,0.059573054907,0.963244281474,0.958100558659,0.960055865922,0.780843310776,0.751037344398,0.753022452504,1.315805661
80,0.0579168685286,0.0589122300992,0.0581531093446,0.96298236424,0.959148044693,0.961731843575,0.779625779626,0.758762886598,0.765008576329,1.45077552
90,0.0577054480717,0.0587105744628,0.0580322114001,0.962720447005,0.959846368715,0.961731843575,0.775617446138,0.760914760915,0.761739130435,1.584356587
100,0.0570501925562,0.0577753170741,0.0574567294854,0.963768115942,0.963337988827,0.961731843575,0.773841961853,0.766146993318,0.753153153153,1.718328793
110,0.0551835206561,0.0559126027543,0.055652760106,0.964553867644,0.963687150838,0.963966480447,0.772166105499,0.762557077626,0.762430939227,1.850362621
120,0.0551527626262,0.0558839469873,0.0555864101305,0.964903090623,0.962988826816,0.963407821229,0.775919732441,0.759090909091,0.759633027523,1.990365709
130,0.05301793841,0.0538639823491,0.0534336176346,0.966038065305,0.964734636872,0.965083798883,0.785201546107,0.774049217002,0.773960216998,2.224949379
140,0.0526231009174,0.0534800071773,0.05295242195,0.967347651475,0.965782122905,0.966201117318,0.794505494505,0.780269058296,0.781981981982,2.462691261
150,0.0523495638233,0.0530721711627,0.0528779842496,0.965601536581,0.963687150838,0.963687150838,0.780623608018,0.764705882353,0.761904761905,2.622663459
160,0.0499708457416,0.0507983609695,0.0503139574325,0.966823817007,0.966131284916,0.966201117318,0.788888888889,0.781038374718,0.779599271403,2.765272843
170,0.0498934812315,0.050782288947,0.0501844939919,0.967173039986,0.965432960894,0.965083798883,0.798715203426,0.78431372549,0.777975133215,2.997604047
