iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.100231977911,0.0998574735372,0.100300078406,0.855159769513,0.855446927374,0.853631284916,0.0036036036036,0,0,0.013213459
10,0.0960352352998,0.0959533278638,0.0960901643178,0.863890343985,0.862779329609,0.860055865922,0.00890019071837,0.0100755667506,0.00792079207921,0.146333717
20,0.133546450361,0.13364270323,0.132893788018,0.453640649555,0.468226256983,0.460335195531,0.0834797891037,0.087477531456,0.0869565217391,0.277368829
30,0.131096912137,0.132767010328,0.129813678352,0.536581107037,0.535265363128,0.54469273743,0.276050190944,0.273867975996,0.276841171251,0.408893358
40,0.130583045859,0.132503685471,0.129315377528,0.564344333857,0.557262569832,0.567318435754,0.282839896522,0.277904328018,0.28187297172,0.539715287
50,0.124647345182,0.127088246308,0.1234352471,0.627204470054,0.619413407821,0.630167597765,0.31526619628,0.308375634518,0.314699792961,0.673959372
60,0.118253086751,0.120875545324,0.116881833458,0.664745940283,0.651187150838,0.668156424581,0.321554770318,0.305767894371,0.326530612245,0.808063256
70,0.117938140857,0.120368721424,0.116606332361,0.658372620918,0.646997206704,0.662849162011,0.312181402707,0.300346020761,0.318464144551,0.954321841
80,0.115730505482,0.118720999498,0.114356700839,0.671555788371,0.653980446927,0.663687150838,0.297085201794,0.285508291276,0.297549591599,1.087430161
90,0.124272919986,0.127052293458,0.122942631461,0.652872359001,0.638966480447,0.643296089385,0.290759900107,0.28294036061,0.294864715627,1.222719003
100,0.121197203569,0.123035732644,0.120112140292,0.655666142832,0.638268156425,0.646089385475,0.264179104478,0.251445086705,0.270581462291,1.361146222
110,0.117847175469,0.119476618805,0.116632777105,0.67173039986,0.659916201117,0.666480446927,0.285985567793,0.275297619048,0.289285714286,1.499379171
120,0.11671466019,0.118298301079,0.115522812746,0.677754496246,0.664455307263,0.672905027933,0.281207400195,0.266971777269,0.285539963392,1.633874743
130,0.11524292467,0.117012003433,0.114045358555,0.687620045399,0.672136871508,0.685195530726,0.263179571664,0.248198558847,0.277100705581,1.7709165
140,0.113137704514,0.11417148766,0.112198819609,0.699144403702,0.692039106145,0.69217877095,0.143638170974,0.161596958175,0.151001540832,1.912993561
150,0.112426533829,0.113139367262,0.111478040499,0.700279378383,0.697276536313,0.693296089385,0.158372150037,0.16874400767,0.159264931087,2.048747712
160,0.107482065396,0.108394429606,0.106396630641,0.731971363716,0.721717877095,0.727932960894,0.21241662391,0.217860647694,0.223285486443,2.186067841
170,0.0994176518783,0.10051943587,0.098368591463,0.774838484372,0.762220670391,0.774581005587,0.275358246699,0.265372168285,0.297650130548,2.322787599
180,0.0997858951402,0.100878090842,0.0988593293211,0.786013619696,0.776187150838,0.788268156425,0.321616385275,0.312968917471,0.338568935428,2.460349226
190,0.0942834996721,0.0954876498991,0.0933496433867,0.81272917758,0.806215083799,0.815363128492,0.390451832907,0.374295377678,0.390783410138,2.598249428
200,0.0915211368962,0.0927626615322,0.0907108090986,0.820761306094,0.809706703911,0.822346368715,0.400933761307,0.381384790011,0.402255639098,2.735628852
210,0.0846046043823,0.0862707074507,0.0838758924302,0.843111576742,0.832053072626,0.848324022346,0.450626719658,0.429418742586,0.461843409316,2.873736017
220,0.0709718564359,0.0726313327955,0.0702826901291,0.905797101449,0.894203910615,0.915363128492,0.546066470341,0.507317073171,0.577405857741,3.012501649
230,0.0700952446191,0.0717980077546,0.0693758624675,0.90876549677,0.896298882682,0.915921787709,0.54025516938,0.49915682968,0.561863173217,3.146560766
240,0.0655294225556,0.0668843620494,0.0650645383676,0.936441417845,0.932262569832,0.943016759777,0.634170854271,0.607287449393,0.664473684211,3.282505866
250,0.0670968074293,0.0681152488679,0.0665108321965,0.91636109656,0.917597765363,0.927094972067,0.395202020202,0.407035175879,0.466257668712,3.42021458
260,0.0631774606442,0.0644349288014,0.0628713659309,0.943600488912,0.939594972067,0.951955307263,0.651939655172,0.624728850325,0.695035460993,3.55575832
270,0.0542438254454,0.055340607477,0.0541677116795,0.954950235726,0.95251396648,0.957541899441,0.697183098592,0.669902912621,0.709923664122,3.690664105
280,0.0529896888094,0.054202657525,0.052967191365,0.956347127641,0.952164804469,0.957262569832,0.702026221692,0.661728395062,0.706333973129,3.826702445
290,0.0498460140914,0.0509744095343,0.0499761912991,0.963593504453,0.959846368715,0.963407821229,0.764006791171,0.730679156909,0.757855822551,3.963902941
300,0.0453186736032,0.0463969708739,0.0455916950892,0.9611489436,0.956005586592,0.961731843575,0.73590504451,0.692682926829,0.740037950664,4.099498297
310,0.0438880363538,0.0449539063001,0.0442420373435,0.960625109132,0.955656424581,0.961731843575,0.728803367408,0.686419753086,0.737044145873,4.233689355
320,0.0418898452029,0.0429377138662,0.0423753228817,0.958093242535,0.953561452514,0.958938547486,0.705882352941,0.664987405542,0.712328767123,4.366681374
330,0.0402593866113,0.0411987528005,0.0408926258042,0.963855421687,0.960195530726,0.961173184358,0.757042253521,0.727272727273,0.732177263969,4.49902681
340,0.0363243266177,0.0374127036408,0.0367439801226,0.963069669984,0.958100558659,0.962849162011,0.750147666864,0.708737864078,0.746666666667,4.632403644
