iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.1311414469,0.130862254722,0.131222387705,0.405971712939,0.393854748603,0.407262569832,0.0732770362299,0.0595882990249,0.0651982378855,0.013013282
10,0.1249412373,0.12467630729,0.125211187354,0.543914789593,0.546438547486,0.550837988827,0.0999310820124,0.0997920997921,0.0874006810443,0.140714622
20,0.153604401121,0.152935181812,0.154029283172,0.130696699843,0.138966480447,0.124581005587,0.077115580684,0.0770958083832,0.0738770685579,0.272724306
30,0.154441193643,0.15360218261,0.154624159394,0.144229090274,0.151536312849,0.134636871508,0.0816938354881,0.0816326530612,0.0746714456392,0.404794495
40,0.153104653011,0.152351204235,0.153184884033,0.160904487515,0.167248603352,0.158100558659,0.0791415157612,0.0780827212988,0.0743243243243,0.540664589
50,0.134810286016,0.134426069274,0.135172337215,0.248384843723,0.253142458101,0.241899441341,0.0803332977246,0.0792079207921,0.0743519781719,0.6776844
60,0.135861094607,0.135399832136,0.136548608753,0.232757115418,0.231145251397,0.22374301676,0.0653052542012,0.0653650254669,0.0570071258907,0.815868978
70,0.131043636997,0.130879758096,0.131509257426,0.300419067575,0.29748603352,0.286592178771,0.139220109571,0.132010353753,0.119310344828,0.952032174
80,0.129981296731,0.12990117125,0.130478575642,0.314562598219,0.311801675978,0.304469273743,0.140558292282,0.133626373626,0.12323943662,1.086903965
90,0.124733489485,0.124716680876,0.125019110532,0.446918107211,0.438896648045,0.452234636872,0.185418541854,0.16606123508,0.165886856657,1.225696666
100,0.11785125465,0.117954341864,0.117890147645,0.538152610442,0.527583798883,0.544413407821,0.253878702398,0.239460370995,0.250114942529,1.359232434
110,0.112177409773,0.112515393007,0.112029563546,0.621005762179,0.611033519553,0.629329608939,0.297004048583,0.279430789133,0.294524189261,1.49705016
120,0.11129659886,0.111606188008,0.111208802575,0.626244106862,0.617667597765,0.633519553073,0.293214462605,0.277227722772,0.290043290043,1.63443962
130,0.113473997598,0.113902316018,0.113212369664,0.598218962808,0.584148044693,0.604189944134,0.281835205993,0.263450834879,0.277409484957,1.7741802
140,0.10691742832,0.107242883125,0.10649581599,0.685088178802,0.681913407821,0.69469273743,0.320075400566,0.304048892284,0.311279143037,1.910052403
150,0.106406935005,0.106910305072,0.105916413686,0.684389732844,0.682611731844,0.695810055866,0.325685506435,0.30979498861,0.322339763535,2.044804336
160,0.103105811485,0.103598673152,0.102624395672,0.71206565392,0.709497206704,0.722346368715,0.345634920635,0.326860841424,0.340848806366,2.178480365
170,0.100632772332,0.1012594299,0.100189898221,0.729876025843,0.731843575419,0.741340782123,0.359950351676,0.34358974359,0.356944444444,2.312828905
180,0.0986420343935,0.0993712783956,0.0981379991747,0.761393399686,0.760474860335,0.769553072626,0.386807269464,0.36832412523,0.382946896036,2.447322348
190,0.0969178056904,0.0976568324284,0.0963220916604,0.779116465863,0.784217877095,0.786033519553,0.401041666667,0.392927308448,0.391096979332,2.681289835
200,0.0950377337674,0.0956888941464,0.0944787880431,0.778243408416,0.782122905028,0.784636871508,0.398104265403,0.385826771654,0.391475927388,2.821796393
210,0.0944625095654,0.0950302670816,0.0939585628479,0.778767242885,0.784217877095,0.784078212291,0.392034548944,0.384462151394,0.38209432454,2.953845275
220,0.0925601726273,0.0932644645916,0.0919529928216,0.782172166929,0.787360335196,0.786033519553,0.402681350251,0.404692082111,0.393987341772,3.087013981
230,0.0890004793085,0.0895343757032,0.0882156480186,0.801466736511,0.805516759777,0.808379888268,0.424303797468,0.425180598555,0.419627749577,3.219451658
240,0.0885061612823,0.0889794498082,0.0878042361167,0.806879692684,0.811452513966,0.814245810056,0.423357664234,0.418103448276,0.420226678291,3.350964125
250,0.088149954271,0.0886394686857,0.0874610699009,0.807490832897,0.811801675978,0.814525139665,0.424131627057,0.418554476807,0.420593368237,3.485901689
260,0.0835100134177,0.084004498944,0.0829123963486,0.832809498865,0.835544692737,0.843016759777,0.456120420335,0.445229681979,0.460652591171,3.64069234
270,0.0830254862058,0.0835377962192,0.0825146106205,0.841016238869,0.843226256983,0.846927374302,0.458519179304,0.44499381953,0.453093812375,3.774151158
280,0.0822967280503,0.0827864028162,0.0817867435903,0.844159245678,0.846368715084,0.85,0.463157894737,0.45,0.455927051672,3.905641735
290,0.0807016938449,0.0812012354587,0.0802269574889,0.865374541645,0.866969273743,0.869553072626,0.498373454782,0.484438430311,0.490730643402,4.040228146
300,0.0781555668282,0.0786928781919,0.0777236410213,0.884581805483,0.885474860335,0.887150837989,0.533521524347,0.520467836257,0.52358490566,4.171437892
310,0.0702703284683,0.070889631158,0.0698479475918,0.963418892963,0.958100558659,0.961731843575,0.780743066457,0.744680851064,0.765811965812,4.302442111
320,0.0699966327247,0.0706263700974,0.0695691477347,0.965252313602,0.959846368715,0.963407821229,0.789417989418,0.75161987041,0.772173913043,4.444529733
330,0.0635923793896,0.0642537900819,0.0631103895272,0.968046097433,0.965083798883,0.967039106145,0.801948051948,0.776785714286,0.789285714286,4.575731787
340,0.061678906664,0.0623779295189,0.0612266382701,0.969966823817,0.964036312849,0.968994413408,0.808888888889,0.765375854214,0.79781420765,4.708298358
350,0.0600435356093,0.0604910432293,0.0602033294035,0.960799720622,0.95844972067,0.958938547486,0.730653869226,0.713253012048,0.711198428291,4.840072226
360,0.0506133454108,0.0515657194799,0.050381018251,0.969704906583,0.963687150838,0.967877094972,0.806036892119,0.761467889908,0.788990825688,4.97046428
370,0.0484990560083,0.0495269972767,0.0484074314373,0.965252313602,0.960544692737,0.964804469274,0.769409038239,0.731591448931,0.763157894737,5.107993925
380,0.0429789092205,0.0442548458691,0.0431071614443,0.965601536581,0.96124301676,0.964245810056,0.771726535342,0.736342042755,0.758490566038,5.238207626
390,0.0429041264591,0.0442087960668,0.0430278355694,0.96595075956,0.96124301676,0.964525139665,0.774826789838,0.736342042755,0.760828625235,5.37187415
400,0.0374603669659,0.0389829416379,0.0373900049197,0.968220708923,0.962639664804,0.967877094972,0.793884484711,0.748235294118,0.788213627993,5.502389319
410,0.0366585017108,0.0381171181567,0.0362731995532,0.969181072115,0.96438547486,0.970111731844,0.804215196894,0.764976958525,0.8078994614,5.632594069
420,0.0364289588422,0.0378784125322,0.0360398615356,0.96909376637,0.96438547486,0.970111731844,0.80376940133,0.766055045872,0.8078994614,5.767427685
430,0.0255365191523,0.0271166527421,0.025423275804,0.965863453815,0.95844972067,0.965083798883,0.773595830921,0.71186440678,0.765478424015,5.896792647
440,0.0244297647945,0.0259519388567,0.0243475579064,0.966387288284,0.960544692737,0.965921787709,0.77860839563,0.73031026253,0.772388059701,6.027811182
450,0.0242953820366,0.0257837490496,0.0241549107343,0.966212676794,0.961941340782,0.966480446927,0.778983438035,0.74231678487,0.777777777778,6.157331034
460,0.0242871628754,0.0258049438333,0.0242089105004,0.966649205518,0.961941340782,0.966480446927,0.781464530892,0.74231678487,0.776951672862,6.286468363
470,0.0238837836835,0.0253771454526,0.0236545360718,0.965776148071,0.960893854749,0.966480446927,0.776765375854,0.735849056604,0.778597785978,6.427566121
480,0.0233351850748,0.0248184596231,0.0231230632823,0.967522262965,0.962988826816,0.969553072626,0.791011235955,0.753488372093,0.802893309222,6.556781384
490,0.0221779834243,0.0237105260538,0.022015573518,0.967173039986,0.963337988827,0.968994413408,0.787089467724,0.755244755245,0.79781420765,6.689432932
500,0.0204173024473,0.0219684601939,0.0202516706228,0.968308014667,0.96438547486,0.969832402235,0.795492957746,0.763888888889,0.805054151625,6.819105385
510,0.0177850254533,0.0194227011258,0.0177649088492,0.968744543391,0.964734636872,0.968715083799,0.797281993205,0.7656612529,0.794871794872,7.058970242
520,0.0176153248991,0.0192371069141,0.0176073594442,0.968395320412,0.963337988827,0.968994413408,0.794551645857,0.754098360656,0.797074954296,7.308456991
530,0.0168773314458,0.0184390243345,0.0165798936317,0.97057796403,0.968226256983,0.971787709497,0.817145957678,0.80174291939,0.823117338004,7.554266245
540,0.0165482206446,0.0181539069901,0.0162842937258,0.971625632967,0.968924581006,0.973463687151,0.825923942153,0.80777537797,0.836488812392,7.806659784
550,0.0155465323164,0.0171391047182,0.0152974473061,0.971101798498,0.968226256983,0.972625698324,0.820984315846,0.80174291939,0.829268292683,7.976080869
