iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.106128207831,0.107364800024,0.105739874787,0.751615156277,0.741969273743,0.749162011173,0.274049502424,0.274779195289,0.268729641694,0.308341918
10,0.0625286400423,0.0624874955179,0.0629076448789,0.908416273791,0.908519553073,0.908379888268,0,0,0,3.504024521
20,0.0507655618731,0.0513047669205,0.0501818756859,0.936441417845,0.933310055866,0.940223463687,0.471698113208,0.436578171091,0.515837104072,6.778532691
30,0.0483881218802,0.0489848204346,0.048571457215,0.938536755719,0.934357541899,0.93938547486,0.496423462089,0.447058823529,0.50569476082,10.08204523
40,0.0326511100836,0.0335261362651,0.0326062323187,0.92709970316,0.928072625698,0.92905027933,0.339920948617,0.35625,0.36815920398,13.32975512
50,0.0297038620641,0.0308854189047,0.02977531048,0.95966474594,0.953561452514,0.959776536313,0.719660194175,0.666666666667,0.719844357977,16.522678887
60,0.0276925558611,0.0288190228312,0.0276500533659,0.961585472324,0.956005586592,0.961452513966,0.73715651135,0.689655172414,0.734615384615,19.741574732
70,0.0270437231405,0.0283355403226,0.0273393084944,0.958617077004,0.953212290503,0.95782122905,0.709914320685,0.661616161616,0.70099009901,22.926426385
80,0.0291515780847,0.0302080152554,0.0294018029373,0.958267854025,0.953212290503,0.956145251397,0.707107843137,0.659898477157,0.686626746507,26.233818196
90,0.0306771778706,0.031658773629,0.0308187660796,0.95652173913,0.95251396648,0.955027932961,0.690683229814,0.654822335025,0.676056338028,29.491279258
100,0.0248161438197,0.0259722305726,0.0248844769979,0.961498166579,0.955656424581,0.960893854749,0.737030411449,0.686419753086,0.72972972973,32.762998861
110,0.0256704992889,0.026833543861,0.0257523467576,0.960537803387,0.95530726257,0.961173184358,0.728365384615,0.683168316832,0.731141199226,35.938972761
120,0.0255854562254,0.0268290206748,0.0256913730196,0.962720447005,0.956354748603,0.962011173184,0.747784997047,0.692874692875,0.739463601533,39.178621871
130,0.0251836758815,0.0264777744682,0.0252179473928,0.959577440196,0.953910614525,0.960335195531,0.719903206292,0.671641791045,0.72480620155,42.396888803
140,0.0247104280659,0.0259143182276,0.0247193373305,0.963680810197,0.958100558659,0.964525139665,0.75644028103,0.708737864078,0.760828625235,45.738314567
