iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
390,0.006773431,0.0095527162,0.0078270812,0.9830626855,0.9762569832,0.9801675978,0.9043392505,0.8645418327,0.886035313,14.651935318
400,0.0067670888,0.0095513522,0.0078186613,0.983237297,0.9766061453,0.9804469274,0.9053254438,0.8662674651,0.8878205128,15.018660938
410,0.0067615274,0.0095563752,0.0078183769,0.9831499913,0.9769553073,0.9804469274,0.9047853971,0.8685258964,0.8878205128,15.385174223
420,0.0067543899,0.0095446883,0.0078173935,0.9833246028,0.9766061453,0.9804469274,0.9058649581,0.8662674651,0.8878205128,15.753322221
430,0.0067456319,0.0095445254,0.0078125998,0.9833246028,0.9766061453,0.980726257,0.9058649581,0.8662674651,0.8896,16.118995449
440,0.0067381554,0.0095576644,0.0078202291,0.9833246028,0.9766061453,0.9810055866,0.9058649581,0.8662674651,0.8913738019,16.493987889
450,0.0067336454,0.0095835862,0.0078439321,0.9834992142,0.9766061453,0.9804469274,0.9067587568,0.8662674651,0.8878205128,16.858594135
460,0.0067237081,0.0095790112,0.0078364247,0.9834992142,0.9766061453,0.980726257,0.9067587568,0.8662674651,0.8896,17.226335073
470,0.0067171407,0.0095608932,0.0078315959,0.9834992142,0.9766061453,0.980726257,0.9068506654,0.8662674651,0.8896,17.590735651
480,0.0067076121,0.0095565889,0.0078221125,0.98358652,0.9769553073,0.980726257,0.9073891626,0.8685258964,0.8896,17.954009055
490,0.0066994619,0.0095493748,0.0078335481,0.98358652,0.9769553073,0.980726257,0.9072978304,0.8685258964,0.8896,18.318570317
500,0.006692611,0.0095424769,0.0078447489,0.9836738257,0.9766061453,0.9804469274,0.9078363726,0.8662674651,0.8878205128,18.683607983
510,0.0066883941,0.009540103,0.0078492856,0.9836738257,0.9769553073,0.980726257,0.9078363726,0.8685258964,0.8896,19.072100864
520,0.0066837892,0.0095406393,0.0078557274,0.9836738257,0.9766061453,0.9804469274,0.9078363726,0.8662674651,0.8878205128,19.439871266
530,0.0066800777,0.0095360187,0.0078440759,0.9836738257,0.9769553073,0.9810055866,0.9078363726,0.8685258964,0.8913738019,19.810864382
540,0.0066729346,0.0095273801,0.0078418621,0.9836738257,0.9769553073,0.9810055866,0.9079271295,0.8685258964,0.8913738019,20.176447908
550,0.0066705571,0.0095202024,0.0078486361,0.98358652,0.9769553073,0.980726257,0.9073891626,0.868,0.8892455859,20.544325669
