iterations,fitness,time,fevals
0,551.0,8.552985786,1000
10,578.0,16.899262941,2100
20,594.0,25.028439437,3200
30,635.0,32.883347708,4300
40,658.0,40.473518174,5400
50,661.0,47.96208864,6500
60,683.0,55.329950454,7600
70,700.0,62.627955696,8700
80,709.0,69.91191778,9800
90,703.0,77.186809914,10900
100,723.0,84.33374328,12000
110,749.0,91.513914765,13100
120,741.0,98.505844459,14200
130,754.0,105.389757426,15300
140,757.0,112.213712071,16400
150,757.0,119.056644044,17500
160,752.0,125.907461801,18600
170,757.0,132.624508072,19700
180,773.0,139.230507626,20800
190,767.0,145.804411452,21900
200,773.0,152.449135391,23000
210,781.0,159.02974835,24100
220,789.0,165.646487578,25200
230,773.0,172.309208355,26300
240,783.0,178.951344131,27400
250,773.0,185.628007637,28500
260,779.0,192.309470005,29600
270,777.0,198.895654227,30700
280,779.0,205.502913308,31800
290,785.0,212.150238896,32900
300,775.0,218.873856416,34000
310,767.0,225.576533328,35100
320,769.0,232.313068572,36200
330,769.0,239.007784969,37300
340,777.0,245.731819757,38400
350,789.0,252.361608029,39500
360,789.0,258.873561588,40600
370,805.0,265.421891169,41700
380,789.0,271.962920992,42800
390,777.0,278.595654543,43900
400,775.0,285.263673589,45000
410,781.0,291.846639803,46100
420,779.0,298.378327429,47200
430,783.0,305.012459895,48300
440,781.0,311.639010617,49400
450,773.0,318.298754486,50500
460,770.0,325.05552682,51600
470,790.0,331.74816089,52700
480,787.0,338.505104641,53800
490,791.0,345.247458034,54900
500,789.0,351.89397004,56000
510,809.0,358.496321309,57100
520,787.0,365.164302401,58200
530,797.0,371.794373192,59300
540,793.0,378.514469721,60400
550,789.0,385.159407224,61500
560,797.0,391.89247448,62600
570,801.0,398.488580365,63700
580,793.0,405.113034092,64800
590,783.0,411.754372238,65900
600,803.0,418.392377955,67000
610,793.0,424.985038413,68100
620,787.0,431.610242838,69200
630,783.0,438.227852413,70300
640,793.0,444.914854775,71400
650,787.0,451.657652247,72500
660,795.0,458.291333571,73600
670,793.0,464.847392872,74700
680,807.0,471.443641427,75800
690,791.0,478.033693978,76900
700,795.0,484.717108277,78000
710,807.0,491.697347895,79100
720,799.0,498.365260747,80200
730,801.0,504.953134462,81300
740,805.0,511.471824477,82400
750,801.0,518.031471724,83500
760,809.0,524.663203704,84600
770,799.0,531.226855702,85700
780,807.0,537.745078849,86800
790,787.0,544.263827224,87900
800,803.0,550.780454761,89000
810,797.0,557.368787922,90100
820,793.0,563.968362002,91200
830,803.0,570.55697786,92300
840,803.0,577.146410406,93400
850,805.0,583.781727513,94500
860,792.0,590.393994759,95600
870,788.0,597.213292439,96700
880,799.0,603.837710229,97800
890,813.0,610.413929833,98900
900,811.0,617.063804512,100000
910,809.0,623.708558317,101100
920,813.0,630.270115993,102200
930,805.0,636.807814495,103300
940,811.0,643.540634013,104400
950,809.0,650.231350712,105500
960,805.0,656.951369989,106600
970,821.0,663.594628409,107700
980,821.0,670.070219332,108800
990,825.0,676.676005429,109900
1000,809.0,683.202416218,111000
1010,821.0,689.760059677,112100
1020,829.0,696.235959424,113200
1030,817.0,702.756129965,114300
1040,811.0,709.269879579,115400
1050,809.0,715.897789393,116500
1060,813.0,722.459907933,117600
1070,811.0,729.001816645,118700
1080,813.0,735.612240474,119800
1090,813.0,742.204612311,120900
1100,801.0,748.846017372,122000
1110,815.0,755.363197184,123100
1120,813.0,761.90474045,124200
1130,819.0,768.406178611,125300
1140,810.0,774.959238345,126400
1150,823.0,781.534188558,127500
1160,813.0,788.192889147,128600
1170,811.0,794.729277927,129700
1180,809.0,801.422264686,130800
1190,809.0,807.973055086,131900
1200,821.0,814.522859944,133000
1210,811.0,821.054456949,134100
1220,811.0,827.636754252,135200
1230,807.0,834.269643031,136300
1240,803.0,840.899309216,137400
1250,813.0,847.474281761,138500
1260,815.0,854.006931385,139600
1270,803.0,860.51162909,140700
1280,813.0,867.077336761,141800
1290,803.0,873.767972287,142900
1300,817.0,880.445160986,144000
1310,811.0,887.039940512,145100
1320,803.0,893.642332453,146200
1330,805.0,900.152529017,147300
1340,800.0,906.724403165,148400
1350,801.0,913.233663331,149500
1360,805.0,919.840265543,150600
1370,815.0,926.437037148,151700
1380,817.0,933.012358621,152800
1390,799.0,939.571892558,153900
1400,813.0,946.058479082,155000
1410,805.0,952.583449035,156100
1420,811.0,959.179189091,157200
1430,821.0,965.684410574,158300
1440,811.0,972.188538855,159400
1450,811.0,978.634463184,160500
1460,809.0,985.229399874,161600
1470,815.0,991.797616053,162700
1480,803.0,998.420275379,163800
1490,799.0,1004.99932006,164900
1500,809.0,1011.59100454,166000
1510,815.0,1018.12340551,167100
1520,819.0,1024.68304219,168200
1530,823.0,1031.27594362,169300
1540,815.0,1037.77495836,170400
1550,809.0,1044.26589372,171500
1560,823.0,1050.7602184,172600
1570,811.0,1057.2290881,173700
1580,817.0,1063.81363196,174800
1590,823.0,1070.36126749,175900
1600,819.0,1076.83877979,177000
1610,817.0,1083.31843784,178100
1620,817.0,1089.91239456,179200
1630,813.0,1096.50892059,180300
1640,809.0,1103.07133599,181400
1650,815.0,1109.64049412,182500
1660,823.0,1116.1515618,183600
1670,823.0,1122.73946966,184700
1680,817.0,1129.22284936,185800
1690,825.0,1135.73514,186900
1700,825.0,1142.23045518,188000
1710,821.0,1148.76220817,189100
1720,825.0,1155.27413585,190200
1730,821.0,1161.73144274,191300
1740,821.0,1168.19062577,192400
1750,817.0,1174.79826556,193500
1760,823.0,1181.36263196,194600
1770,833.0,1187.85198289,195700
1780,823.0,1194.41492494,196800
1790,821.0,1200.89868831,197900
1800,811.0,1207.47213018,199000
1810,803.0,1214.08709516,200100
1820,813.0,1220.66041497,201200
1830,809.0,1227.19917635,202300
1840,799.0,1233.81790596,203400
1850,813.0,1240.47984711,204500
1860,805.0,1246.99894248,205600
1870,821.0,1253.54489498,206700
1880,818.0,1260.02054379,207800
1890,823.0,1266.54777131,208900
1900,817.0,1273.11443618,210000
1910,823.0,1279.66202805,211100
1920,819.0,1286.36039265,212200
1930,803.0,1292.94241556,213300
1940,804.0,1299.56960167,214400
1950,803.0,1306.20609698,215500
1960,811.0,1312.78319632,216600
1970,809.0,1319.42942378,217700
1980,809.0,1326.03707629,218800
1990,817.0,1332.65544284,219900
2000,813.0,1339.2280814,221000
2010,809.0,1345.83157818,222100
2020,809.0,1352.40176666,223200
2030,816.0,1358.99324689,224300
2040,813.0,1365.58181575,225400
2050,817.0,1372.23221685,226500
2060,815.0,1378.97631887,227600
2070,825.0,1385.53689653,228700
2080,817.0,1392.03322161,229800
2090,809.0,1398.61119402,230900
2100,811.0,1405.19233049,232000
2110,805.0,1411.77327105,233100
2120,807.0,1418.31578258,234200
2130,815.0,1424.82741231,235300
