iterations,fitness,time,fevals
0,550.0,8.555294766,1000
10,576.0,16.914055146,2100
20,598.0,25.099802178,3200
30,638.0,32.975905175,4300
40,673.0,40.66566206,5400
50,695.0,48.008435367,6500
60,705.0,54.942214868,7600
70,737.0,61.889258644,8700
80,745.0,68.665417218,9800
90,753.0,75.318196795,10900
100,755.0,81.991392197,12000
110,763.0,88.579379054,13100
120,777.0,95.156082672,14200
130,765.0,101.515984966,15300
140,769.0,108.019549868,16400
150,777.0,114.537685308,17500
160,781.0,120.856673413,18600
170,773.0,127.108854613,19700
180,771.0,133.476240929,20800
190,775.0,139.83663248,21900
200,775.0,146.166089656,23000
210,777.0,152.578639401,24100
220,781.0,158.982205057,25200
230,783.0,165.325443034,26300
240,785.0,171.672350591,27400
250,781.0,177.981782412,28500
260,779.0,184.367263433,29600
270,779.0,190.65186188,30700
280,775.0,196.993590637,31800
290,787.0,203.283545275,32900
300,781.0,209.575265413,34000
310,783.0,215.897842636,35100
320,776.0,222.234536043,36200
330,779.0,228.578509263,37300
340,781.0,234.893887137,38400
350,783.0,241.222300206,39500
360,783.0,247.546305441,40600
370,789.0,253.798946565,41700
380,783.0,260.129410122,42800
390,783.0,266.425410701,43900
400,783.0,272.644122798,45000
410,787.0,278.963490848,46100
420,789.0,285.247074122,47200
430,789.0,291.550091145,48300
440,787.0,297.841610423,49400
450,777.0,304.13677202,50500
460,783.0,310.463857207,51600
470,789.0,316.727140721,52700
480,785.0,323.096255998,53800
490,787.0,329.38724194,54900
500,785.0,335.766481497,56000
510,789.0,342.113752569,57100
520,783.0,348.425071988,58200
530,789.0,354.688439298,59300
540,789.0,361.020387703,60400
550,793.0,367.323487459,61500
560,787.0,373.601353325,62600
570,783.0,379.775553197,63700
580,793.0,386.129401858,64800
590,787.0,392.630049069,65900
600,791.0,398.942804928,67000
610,787.0,405.244248854,68100
620,785.0,411.477137791,69200
630,787.0,417.824031272,70300
640,791.0,424.181693762,71400
650,779.0,430.491119899,72500
660,793.0,436.791289209,73600
670,789.0,443.145775132,74700
680,787.0,449.469484251,75800
690,789.0,455.804293112,76900
700,789.0,462.140814408,78000
710,789.0,468.452853121,79100
720,793.0,474.650986041,80200
730,793.0,480.978998951,81300
740,791.0,487.261825652,82400
750,793.0,493.53985655,83500
760,785.0,499.88251507,84600
770,789.0,506.156516359,85700
780,797.0,512.507851135,86800
790,791.0,518.784206182,87900
800,791.0,525.068322482,89000
810,795.0,531.387482596,90100
820,801.0,537.651584447,91200
830,797.0,543.887851565,92300
840,795.0,550.197630648,93400
850,794.0,556.486758629,94500
860,799.0,562.710675636,95600
870,799.0,568.952834135,96700
880,795.0,575.173737291,97800
890,791.0,581.461417071,98900
900,795.0,587.720259627,100000
910,791.0,593.992314274,101100
920,787.0,600.296441877,102200
930,795.0,606.616352104,103300
940,793.0,612.890154226,104400
950,795.0,619.160117885,105500
960,795.0,625.417014493,106600
970,799.0,631.73160168,107700
980,795.0,638.047106963,108800
990,795.0,644.369587937,109900
1000,793.0,650.71243004,111000
1010,801.0,657.065385568,112100
1020,801.0,663.367238556,113200
1030,801.0,669.69650566,114300
1040,793.0,676.081256168,115400
1050,801.0,682.449670137,116500
1060,799.0,688.752181029,117600
1070,805.0,694.99581704,118700
1080,797.0,701.219140843,119800
1090,799.0,707.540680992,120900
1100,797.0,713.828672233,122000
1110,801.0,720.091700445,123100
1120,797.0,726.353033453,124200
1130,805.0,732.657173057,125300
1140,801.0,738.912186349,126400
1150,795.0,745.248683264,127500
1160,801.0,751.535044325,128600
1170,799.0,757.959358841,129700
1180,803.0,764.196931573,130800
1190,799.0,770.45531638,131900
1200,807.0,776.804416543,133000
1210,801.0,783.072863464,134100
1220,797.0,789.375404013,135200
1230,801.0,795.604825354,136300
1240,797.0,801.930733836,137400
1250,803.0,808.220765256,138500
1260,797.0,814.550394253,139600
1270,797.0,820.854142309,140700
1280,799.0,827.07879553,141800
1290,799.0,833.378358278,142900
1300,799.0,839.616107436,144000
1310,797.0,845.940488749,145100
1320,799.0,852.147027051,146200
1330,801.0,858.485353955,147300
1340,799.0,864.740559609,148400
1350,799.0,871.047357897,149500
1360,803.0,877.347284988,150600
1370,805.0,883.609230473,151700
1380,803.0,889.866586479,152800
1390,801.0,896.174290823,153900
1400,803.0,902.388198205,155000
1410,801.0,908.706726481,156100
1420,805.0,915.021835365,157200
1430,797.0,921.399816026,158300
1440,805.0,927.728738869,159400
1450,809.0,933.997711115,160500
1460,803.0,940.271816251,161600
1470,807.0,946.511255616,162700
1480,799.0,952.768076995,163800
1490,804.0,959.052030727,164900
1500,805.0,965.309269939,166000
1510,801.0,971.589444592,167100
