iterations,fitness,time,fevals
0,14.0,1.5457e-05,11
10,14.0,3.0076e-05,21
20,14.0,4.2802e-05,31
30,14.0,5.7213e-05,41
40,14.0,7.0829e-05,51
50,18.0,8.4524e-05,61
60,18.0,0.000107691,71
70,19.0,0.00012085,81
80,19.0,0.00013447,91
90,19.0,0.000148961,101
100,19.0,0.000161441,111
110,19.0,0.000215272,121
120,19.0,0.000229266,131
130,19.0,0.000242656,141
140,19.0,0.000256646,151
150,19.0,0.000269059,161
160,19.0,0.000284206,171
170,19.0,0.00029695,181
180,19.0,0.000309385,191
190,20.0,0.000322177,201
200,20.0,0.000335096,211
210,20.0,0.000347079,221
220,20.0,0.000359863,231
230,20.0,0.000376811,241
240,20.0,0.000390496,251
250,20.0,0.000408127,261
260,20.0,0.000421103,271
270,20.0,0.000434864,281
280,20.0,0.000447621,291
290,21.0,0.000493986,301
300,21.0,0.000506855,311
310,21.0,0.000519324,321
320,21.0,0.000532235,331
330,21.0,0.000544143,341
340,21.0,0.000555944,351
350,21.0,0.000569754,361
360,21.0,0.000582321,371
370,21.0,0.000594028,381
380,21.0,0.000605976,391
390,21.0,0.000619155,401
400,21.0,0.000631382,411
410,21.0,0.000644506,421
420,21.0,0.000657494,431
430,21.0,0.000669769,441
440,21.0,0.00068164,451
450,21.0,0.000693938,461
460,21.0,0.000708189,471
470,21.0,0.000720774,481
480,21.0,0.000732722,491
490,21.0,0.000745102,501
500,21.0,0.000758647,511
510,21.0,0.000771655,521
520,21.0,0.000784835,531
530,21.0,0.000797608,541
540,22.0,0.000808956,551
550,22.0,0.000820983,561
560,22.0,0.00083474,571
570,22.0,0.000846734,581
580,22.0,0.000858769,591
590,22.0,0.000870606,601
600,22.0,0.000882712,611
610,22.0,0.00089576,621
620,22.0,0.000907761,631
630,22.0,0.000919723,641
640,22.0,0.000932709,651
650,22.0,0.000944744,661
660,22.0,0.000957972,671
670,22.0,0.000971101,681
680,22.0,0.00098348,691
690,22.0,0.000995281,701
700,22.0,0.001008674,711
710,22.0,0.001021267,721
720,22.0,0.001033518,731
730,22.0,0.001046191,741
740,22.0,0.001058181,751
750,22.0,0.001069931,761
760,22.0,0.001083688,771
770,22.0,0.001095795,781
780,22.0,0.001107675,791
790,22.0,0.001122328,801
800,22.0,0.001145736,811
810,22.0,0.001157933,821
820,22.0,0.001171126,831
830,22.0,0.001182954,841
840,22.0,0.001195378,851
850,22.0,0.001208716,861
860,22.0,0.001220784,871
870,22.0,0.001232535,881
880,22.0,0.001246686,891
890,22.0,0.001258733,901
900,22.0,0.001270285,911
910,22.0,0.001283748,921
920,22.0,0.001296264,931
930,22.0,0.001309317,941
940,22.0,0.001322317,951
950,22.0,0.001334038,961
960,22.0,0.001345862,971
970,22.0,0.001358291,981
