iterations,fitness,time,fevals
0,22.0,0.000529212999998,430
10,23.0,0.000927013999998,763
20,22.0,0.001299921,1100
30,22.0,0.001671108,1431
40,23.0,0.002028493,1759
50,24.0,0.002381827,2079
60,25.0,0.00273733,2424
70,25.0,0.003088367,2754
80,24.0,0.003432145,3098
90,25.0,0.003801608,3432
100,25.0,0.004155814,3772
110,25.0,0.004498098,4109
120,25.0,0.004842861,4444
130,25.0,0.005179279,4774
140,27.0,0.005518261,5106
150,27.0,0.005861743,5445
160,29.0,0.006205958,5783
170,28.0,0.006586317,6112
180,29.0,0.007025954,6435
190,28.0,0.007409655,6773
200,27.0,0.007749735,7109
210,28.0,0.008087461,7439
220,28.0,0.008424686,7769
230,29.0,0.008765082,8099
240,29.0,0.009105242,8440
250,27.0,0.009448175,8773
260,29.0,0.009792464,9111
270,29.0,0.010125212,9438
280,30.0,0.010461939,9767
290,30.0,0.01080446,10112
300,29.0,0.011137493,10443
310,30.0,0.011478983,10781
320,30.0,0.011812503,11109
330,31.0,0.012152693,11443
340,31.0,0.012496369,11779
350,31.0,0.01283497,12113
360,31.0,0.013175435,12455
370,31.0,0.013537401,12795
380,31.0,0.014001936,13114
390,31.0,0.014390872,13441
400,31.0,0.014754783,13784
410,31.0,0.015118933,14120
420,30.0,0.015460688,14442
430,30.0,0.01581841,14765
440,31.0,0.016174685,15102
450,31.0,0.016521984,15434
460,32.0,0.016865537,15765
470,32.0,0.017213327,16102
480,33.0,0.01757362,16438
490,33.0,0.017915441,16776
500,33.0,0.018252118,17109
510,32.0,0.018606636,17441
520,33.0,0.018931871,17770
530,34.0,0.019259215,18107
540,33.0,0.019590066,18450
550,34.0,0.019919603,18773
560,34.0,0.020248378,19093
570,34.0,0.020579681,19436
580,35.0,0.020919675,19761
590,35.0,0.021257522,20096
600,34.0,0.0215994,20435
610,36.0,0.021938258,20772
620,35.0,0.022270464,21098
630,35.0,0.02260889,21425
640,35.0,0.022965922,21763
650,35.0,0.023293168,22096
660,35.0,0.023616604,22418
670,34.0,0.023952556,22751
680,35.0,0.024311832,23091
690,35.0,0.024641133,23419
700,35.0,0.024975371,23755
710,35.0,0.025317468,24088
720,35.0,0.025644154,24423
730,35.0,0.025979854,24749
740,35.0,0.026313784,25075
750,35.0,0.026645695,25401
760,36.0,0.026974713,25730
770,35.0,0.027317263,26051
780,35.0,0.02764914,26392
790,36.0,0.027978578,26717
800,35.0,0.028318353,27048
810,36.0,0.028657044,27381
820,35.0,0.028989174,27717
830,35.0,0.029337133,28053
840,35.0,0.029682125,28382
850,36.0,0.030019462,28713
860,37.0,0.030356706,29041
870,35.0,0.030742228,29371
880,35.0,0.031113207,29706
890,35.0,0.031461701,30047
900,35.0,0.031823788,30391
910,36.0,0.032163945,30721
920,38.0,0.032508038,31052
930,38.0,0.032849621,31381
940,38.0,0.033186608,31710
950,37.0,0.033551381,32042
960,38.0,0.033986962,32374
970,37.0,0.034415908,32709
980,39.0,0.034761669,33044
990,39.0,0.035099299,33381
1000,39.0,0.03545877,33713
1010,39.0,0.035819515,34063
1020,39.0,0.036191908,34402
1030,40.0,0.036559534,34735
1040,40.0,0.036916336,35075
1050,40.0,0.03725714,35407
1060,40.0,0.03759008,35733
1070,40.0,0.037923468,36060
1080,41.0,0.038273782,36390
1090,40.0,0.038604811,36721
1100,41.0,0.038931303,37053
1110,46.0,0.039261149,37388
1120,46.0,0.039581451,37715
1130,46.0,0.039900538,38041
1140,47.0,0.040229077,38376
1150,47.0,0.040568807,38702
1160,49.0,0.040908269,39038
